ticket_id,submitted_at,month,category,sentiment,urgency,confidence,needs_review,topic,raw_text
TKT-1051,2024-01-06,2024-01,technical,negative,high,high,False,Payment failure leading to account lockout issue.,Payment failed but I was still locked out of my account. Please sort this.
TKT-1018,2024-01-08,2024-01,feature_request,neutral,low,high,False,Request for a public roadmap of upcoming features.,Can we get a public roadmap so we know what's coming next?
TKT-1045,2024-01-12,2024-01,billing,neutral,medium,high,False,Customer questions an unrecognized charge on their invoice.,My invoice shows an amount I don't recognise. Can someone explain charge #2.3.1 on my account?
TKT-1016,2024-01-15,2024-01,technical,negative,high,high,False,Customer unable to log in after resetting password.,I can't log in — it says my password is wrong but I just reset it.
TKT-1021,2024-01-21,2024-01,other,neutral,low,high,False,Request for information on transferring account ownership.,How do I transfer ownership of an account to a colleague?
TKT-1033,2024-02-01,2024-02,billing,neutral,medium,high,False,Request to downgrade plan and refund unused portion.,I want to downgrade my plan and need a refund for the unused portion.
TKT-1058,2024-02-03,2024-02,billing,negative,high,high,False,Discount code not applied to the bill.,The discount code I applied at checkout isn't reflected on my bill.
TKT-1060,2024-02-03,2024-02,feature_request,positive,low,high,False,Request for an embeddable widget for help center page.,Would love a widget I can embed directly on our help center page.
TKT-1034,2024-02-05,2024-02,feature_request,neutral,low,high,False,Inquiry about reseller or affiliate program options.,Do you have reseller or affiliate programme options?
TKT-1059,2024-02-05,2024-02,feature_request,neutral,medium,high,False,Request to add SSO support for Okta.,Can you add SSO support for Okta? Our IT team requires it.
TKT-1015,2024-02-06,2024-02,billing,neutral,low,high,False,Request for a consolidated invoice for the year.,Can you send me a consolidated invoice for the entire year?
TKT-1002,2024-02-09,2024-02,billing,negative,high,high,False,Customer requests immediate refund for duplicate subscription charge.,I've been charged twice for my subscription this month. Please refund the duplicate charge immediately.
TKT-1022,2024-02-10,2024-02,feature_request,neutral,low,high,False,Inquiry about support for Chinese and Japanese character sets.,Does the product support Chinese and Japanese character sets?
TKT-1001,2024-02-17,2024-02,feature_request,positive,low,high,False,Request for an embeddable widget for help center page.,Would love a widget I can embed directly on our help center page.
